Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Winestyle
Pomerol 2011,France,Pomerol,Château La Providence,4.2,0.05216665507407675,0.9683711122825513,2011,Red
Lirac 2017,France,Lirac,Château Mont-Redon,4.3,0.05216665507407675,0.13020558777016342,2017,Red
Erta e China Rosso di Toscana 2015,Italy,Toscana,Renzo Masi,3.9,0.05216665507407675,0.04533473906167634,2015,Red
Bardolino 2019,Italy,Bardolino,Cavalchina,3.5,0.05216665507407675,0.058724301528729574,2019,Red
Ried Scheibner Pinot Noir 2016,Austria,Carnuntum,Markowitsch,3.9,0.05216665507407675,0.2741170268845546,2016,Red
Gigondas (Nobles Terrasses) 2017,France,Gigondas,Vieux Clocher,3.7,0.05216665507407675,0.17659462308908802,2017,Red
Marion's Vineyard Pinot Noir 2016,New Zealand,Wairarapa,Schubert,4.0,0.05216665507407675,0.42930943595150234,2016,Red
Red Blend 2014,Chile,Itata Valley,Viña La Causa,3.9,0.05216665507407675,0.1515023721665788,2014,Red
Chianti 2015,Italy,Chianti,Castello Montaùto,3.6,0.05216665507407675,0.0801265155508698,2015,Red
Tradition 2014,France,Minervois,Domaine des Aires Hautes,3.5,0.05216665507407675,0.039536109646810765,2014,Red
Chianti Riserva 2013,Italy,Chianti,Poggiotondo,3.9,0.05216665507407675,0.18766473379019505,2013,Red
Descendant 2016,Australia,Barossa,Torbreck,4.3,0.05216665507407675,1.0,2016,Red
Les Obriers de la Peira Terrasses du Larzac 2017,France,Terrasses du Larzac,La Pèira en Damaisèla,4.1,0.05216665507407675,0.11987348444913021,2017,Red
Zenas Primitivo 2018,Italy,Puglia,La Bollina,3.6,0.05216665507407675,0.06441750131787033,2018,Red
Cuvée Confidence Côtes du Rhône Rouge 2017,France,Côtes-du-Rhône,Domaine Fond Croze,3.7,0.05216665507407675,0.05629942013705851,2017,Red
Shiraz 2018,Australia,South Eastern Australia,Barramundi,3.2,0.05216665507407675,0.03531892461781761,2018,Red
Proprietor's Blend 2016,South Africa,Stellenbosch,Ernie Els,4.2,0.05216665507407675,0.2734844491302056,2016,Red
La Bienquerida 2016,Spain,Bierzo,Losada,4.3,0.05216665507407675,0.4051660516605166,2016,Red
Cabernet Sauvignon 2015,United States,California,Hacienda,3.8,0.05216665507407675,0.050606220347917764,2015,Red
Fulgeo Negroamaro Salento 2016,Italy,Salento,San Donaci,4.0,0.05216665507407675,0.10279388508170798,2016,Red
Contraste Tinto 2015,Portugal,Douro,Conceito,3.4,0.05216665507407675,0.07116499736425935,2015,Red
Steiner 2013,Hungary,Sopron,Weninger,3.7,0.05216665507407675,0.22509225092250923,2013,Red
Old Vines Primitivo 2015,Italy,Puglia,Azienda Agricola Morella,4.2,0.05216665507407675,0.374802319451766,2015,Red
Virtus Tannat 2013,Brazil,Serra Gaúcha,Monte Paschoal,2.9,0.05216665507407675,0.03816552451238798,2013,Red
Kallista 2015,South Africa,Stellenbosch,Vriesenhof,4.3,0.05216665507407675,0.24354243542435428,2015,Red
Badia a Passignano Gran Selezione Chianti Classico 2016,Italy,Chianti Classico,Antinori,4.2,0.6781665159629978,0.3874538745387454,2016,Red
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2012,France,Saint-Émilion Grand Cru,Château Figeac,4.4,0.6781665159629978,1.0,2012,Red
Carlo V Il Rosso dell'Imperatore 2013,Italy,Veneto,Colli Vicentini,3.7,0.6781665159629978,0.13442277279915657,2013,Red
Pinot Noir 2016,United States,Monterey,District 7,3.6,0.6788620713639855,0.1352662098049552,2016,Red
Marquis de Calon Saint-Estèphe 2015,France,Saint-Estèphe,Château Calon-Ségur,3.9,0.6788620713639855,0.4230890880337375,2015,Red
Hécula Monastrell 2017,Spain,Yecla,Castaño,3.3,0.6809487375669485,0.059884027411702685,2017,Red
Berola 2015,Spain,Campo de Borja,Borsao,3.9,0.6823398483689239,0.11987348444913021,2015,Red
Saint-Julien (Grand Cru Classé) 2010,France,Saint-Julien,Château Léoville Poyferré,4.4,0.6837309591708993,1.0,2010,Red
Pinot Noir Bourgogne 2017,France,Bourgogne,Faiveley,3.7,0.684426514571887,0.13442277279915657,2017,Red
Vigna del Noce Barbera d'Asti 2007,Italy,Barbera d'Asti,Trinchero,4.1,0.05286221047506444,0.7775434897206116,2007,Red
I Tratturi Rosso 2017,Italy,Salento,San Marzano,3.8,0.05286221047506444,0.04101212440695836,2017,Red
Château Pilet Bordeaux 2017,France,Bordeaux,J.Queyrens & Fils,3.6,0.05286221047506444,0.03531892461781761,2017,Red
Sancerre Rouge 2015,France,Sancerre,Comte Lafond,4.2,0.05286221047506444,0.3604638903531893,2015,Red
Shiraz 2016,Australia,McLaren Vale,Food Truck,3.5,0.05286221047506444,0.05819715340010543,2016,Red
Ro-Rée Saint-Joseph 2018,France,Saint-Joseph,Louis Chèze,4.2,0.05286221047506444,0.2237216657880865,2018,Red
Cabernet Sauvignon 2015,South Africa,Stellenbosch,Big Flower,4.0,0.05286221047506444,0.1407485503426463,2015,Red
Cuvée Alienor Fronsac 2015,France,Fronsac,Château Mayne-Vieil,3.7,0.05286221047506444,0.1404322614654718,2015,Red
Sabbie di Sopra al Bosco 2014,Italy,Terre del Volturno,Nanni Copé,3.8,0.05286221047506444,0.30374275171323145,2014,Red
Roma Rosso 2018,Italy,Lazio,Poggio le Volpi,4.0,0.05286221047506444,0.0716921454928835,2018,Red
Garnacha de Arrayán 2014,Spain,Castilla y León,Arrayán,3.7,0.05286221047506444,0.19768054823405376,2014,Red
Cabernet Sauvignon 2018,Chile,Central Valley,Valdivieso,3.3,0.05286221047506444,0.046916183447548755,2018,Red
